mean_idle_time,mean_idle_time-Secretary,mean_idle_time-Nurse,mean_idle_time-Doctor,mean_waiting_time,mean_waiting_time-1,mean_waiting_time-2,mean_waiting_time-3,mean_waiting_time-4,mean_waiting_time-5,mean_waiting_time-Registration,mean_waiting_time-Screening,mean_waiting_time-Medical_Care,mean_waiting_time-Exam_Medicine,mean_size_queue,mean_size_queue-Registration,mean_size_queue-Screening,mean_size_queue-Medical_Care,mean_size_queue-Exam_Medicine
0.39,0.50,0.50,0.18,25.20,69.15,42.78,13.33,10.72,8.25,3.10,1.02,20.95,0.69,0.61,0.30,0.09,2.01,0.03
0.36,0.46,0.48,0.14,31.48,119.98,41.45,16.67,9.47,8.70,3.05,0.77,26.22,0.63,0.80,0.31,0.07,2.81,0.02
0.38,0.47,0.49,0.17,26.26,92.15,33.54,15.93,9.43,9.43,3.09,1.18,21.71,1.03,0.65,0.31,0.11,2.16,0.04
0.38,0.48,0.46,0.19,26.73,99.30,36.08,13.56,11.89,9.44,3.19,1.35,21.91,1.01,0.65,0.31,0.12,2.14,0.04
0.39,0.49,0.50,0.17,30.39,136.21,44.11,12.84,10.02,8.54,2.75,0.77,26.66,0.73,0.74,0.27,0.07,2.59,0.03
0.34,0.46,0.43,0.13,26.45,59.49,42.82,21.76,11.57,10.19,3.40,1.85,20.88,1.12,0.68,0.35,0.17,2.13,0.05
0.37,0.48,0.47,0.16,24.31,78.26,32.08,15.41,11.43,8.74,3.35,0.82,19.94,0.66,0.60,0.33,0.07,1.97,0.03
0.37,0.48,0.47,0.17,23.17,77.60,29.12,14.29,12.18,9.10,2.96,1.40,18.58,0.84,0.57,0.29,0.12,1.83,0.03
0.38,0.47,0.49,0.17,25.99,91.80,34.98,15.66,10.76,10.41,3.20,1.26,21.30,0.84,0.64,0.32,0.11,2.11,0.03
0.37,0.48,0.47,0.16,28.26,108.20,39.41,13.65,11.99,8.84,3.29,0.93,23.61,1.09,0.70,0.33,0.08,2.33,0.04
0.37,0.48,0.46,0.16,25.01,81.31,37.28,14.61,10.11,8.56,3.77,1.08,19.89,0.89,0.62,0.38,0.10,1.98,0.04
0.38,0.48,0.46,0.18,24.07,76.02,35.21,15.32,10.72,8.17,3.31,1.29,19.09,1.08,0.58,0.32,0.11,1.83,0.04
0.33,0.44,0.44,0.13,25.12,96.06,30.95,16.37,11.04,8.40,3.30,1.50,20.12,0.88,0.66,0.35,0.14,2.11,0.04
0.35,0.46,0.46,0.14,27.85,98.34,36.82,18.97,10.50,9.51,3.15,1.53,22.93,0.95,0.72,0.32,0.14,2.36,0.04
0.37,0.47,0.49,0.16,32.41,123.91,45.08,15.16,8.88,9.11,3.68,0.93,27.74,0.52,0.80,0.36,0.08,2.73,0.02
0.39,0.48,0.50,0.18,23.16,74.74,34.44,14.32,12.12,8.14,3.24,1.05,18.70,0.65,0.56,0.32,0.09,1.82,0.02
0.37,0.47,0.47,0.18,24.01,90.13,34.69,13.61,11.19,8.86,3.34,0.94,19.58,0.88,0.60,0.33,0.08,1.93,0.04
0.40,0.49,0.49,0.21,18.06,49.56,23.37,12.35,11.48,8.83,2.99,0.73,14.13,0.72,0.43,0.28,0.06,1.33,0.03
0.34,0.45,0.46,0.11,47.06,250.04,47.06,17.64,10.70,9.37,3.75,0.73,42.34,0.78,1.21,0.39,0.07,4.34,0.03
0.38,0.48,0.48,0.18,20.20,53.63,30.50,15.50,10.92,9.20,3.08,0.83,15.96,0.76,0.49,0.30,0.07,1.56,0.03
0.35,0.46,0.45,0.16,26.95,98.03,34.22,16.05,9.53,10.77,3.95,1.14,21.55,0.93,0.67,0.39,0.10,2.15,0.04
0.37,0.48,0.47,0.17,30.13,95.65,41.12,16.67,10.83,10.98,3.19,2.11,24.46,1.52,0.75,0.32,0.18,2.42,0.06
0.37,0.48,0.45,0.17,21.87,73.20,29.78,14.43,8.66,8.94,2.64,1.26,17.64,1.03,0.54,0.26,0.11,1.74,0.04
0.35,0.46,0.43,0.16,26.29,89.80,32.76,17.10,10.72,9.32,3.66,1.45,20.86,1.06,0.67,0.37,0.13,2.12,0.05
0.34,0.45,0.45,0.13,33.49,170.78,41.83,16.58,9.51,8.89,3.35,0.65,29.21,0.69,0.85,0.34,0.06,2.98,0.03
0.35,0.45,0.46,0.14,44.08,184.93,59.50,19.47,11.08,13.96,4.63,1.51,30.32,1.04,1.15,0.48,0.14,3.93,0.04
0.37,0.48,0.47,0.17,17.56,47.78,21.97,12.12,10.78,7.80,3.04,0.82,13.56,0.67,0.43,0.30,0.07,1.34,0.03
0.35,0.46,0.45,0.14,41.25,222.37,44.97,18.74,12.00,11.08,3.81,1.73,35.35,1.14,1.05,0.39,0.16,3.61,0.05
0.37,0.48,0.47,0.17,25.68,85.91,35.84,14.15,10.55,8.76,3.22,1.08,21.13,0.85,0.63,0.32,0.09,2.07,0.03
0.37,0.46,0.48,0.16,32.65,127.23,45.26,15.08,11.44,9.83,3.23,0.70,26.82,0.77,0.83,0.32,0.06,2.90,0.03
0.38,0.49,0.47,0.19,22.90,78.10,32.33,16.26,10.18,8.43,3.08,1.00,18.60,0.71,0.55,0.29,0.09,1.77,0.03
0.36,0.47,0.47,0.16,32.79,129.58,40.78,14.85,11.26,8.89,3.61,0.82,27.75,0.69,0.81,0.36,0.07,2.78,0.03
0.41,0.50,0.52,0.21,22.58,74.64,28.77,14.15,9.22,9.13,3.08,0.77,18.61,0.68,0.53,0.29,0.06,1.73,0.02
0.37,0.47,0.46,0.16,26.90,89.58,31.35,16.59,9.76,7.99,2.86,0.97,22.84,0.73,0.66,0.28,0.08,2.25,0.03
0.35,0.44,0.46,0.14,26.37,98.70,31.14,15.37,10.84,9.68,3.96,0.74,21.40,0.74,0.67,0.40,0.07,2.18,0.03
0.36,0.47,0.48,0.15,42.48,205.72,49.97,16.26,11.07,9.26,3.24,0.87,38.16,0.87,1.06,0.32,0.08,3.79,0.03
0.36,0.46,0.47,0.15,32.61,129.37,40.02,18.29,14.66,11.50,4.39,1.29,26.58,1.08,0.82,0.45,0.12,2.66,0.04
0.40,0.51,0.49,0.21,17.50,38.21,24.84,16.05,9.61,7.82,2.48,0.84,13.93,0.80,0.41,0.23,0.07,1.30,0.03
0.33,0.44,0.42,0.14,32.90,140.99,45.38,15.33,12.83,9.82,3.88,1.58,26.34,1.29,0.85,0.40,0.15,2.79,0.06
0.34,0.44,0.45,0.12,32.84,125.38,49.99,16.64,12.53,10.04,3.19,1.55,27.67,1.23,0.85,0.33,0.15,2.87,0.05
0.36,0.47,0.45,0.15,29.86,127.44,32.17,14.88,11.50,10.44,3.27,1.08,25.15,1.04,0.74,0.33,0.10,2.51,0.04
0.32,0.44,0.43,0.11,44.45,210.57,53.78,21.87,12.18,9.64,3.20,1.90,39.03,1.29,1.17,0.34,0.18,4.11,0.06
0.38,0.48,0.48,0.18,30.82,103.85,45.20,14.96,11.17,8.74,3.34,1.49,25.77,1.12,0.75,0.33,0.13,2.52,0.04
0.34,0.45,0.45,0.11,37.77,143.86,52.46,17.00,11.35,9.87,3.32,1.62,32.60,1.07,0.99,0.35,0.15,3.41,0.04
0.41,0.51,0.51,0.22,21.58,61.84,29.32,13.19,9.81,10.68,3.17,1.79,15.65,1.07,0.50,0.30,0.15,1.51,0.04
0.36,0.47,0.46,0.14,26.59,107.36,32.51,14.54,11.94,8.96,3.35,1.01,21.87,0.93,0.66,0.34,0.09,2.19,0.04
0.39,0.49,0.48,0.19,24.59,88.09,31.53,12.99,8.86,8.46,2.93,1.14,20.29,0.82,0.58,0.28,0.10,1.93,0.03
0.36,0.46,0.46,0.15,27.99,90.44,41.09,15.93,11.11,10.71,3.54,1.85,22.43,1.57,0.72,0.36,0.17,2.28,0.06
0.40,0.51,0.50,0.20,19.55,52.08,27.52,12.67,8.45,8.52,2.58,1.01,15.77,0.69,0.45,0.24,0.08,1.44,0.03
0.36,0.46,0.45,0.16,44.85,248.11,39.14,17.33,10.19,8.52,3.48,0.74,40.33,0.94,1.12,0.35,0.07,4.03,0.04
0.34,0.44,0.45,0.13,36.05,139.46,50.00,19.07,13.28,9.94,3.91,1.35,29.77,0.84,0.93,0.40,0.13,3.14,0.04
0.37,0.47,0.49,0.17,28.70,105.33,37.51,15.05,10.78,8.68,3.29,1.08,24.13,0.93,0.72,0.34,0.10,2.41,0.04
0.36,0.47,0.46,0.17,26.34,90.83,38.26,15.13,11.54,9.69,3.36,1.01,21.77,0.66,0.66,0.34,0.09,2.18,0.03
0.35,0.46,0.44,0.16,29.55,71.84,56.01,14.94,12.46,9.14,3.06,1.49,24.60,1.04,0.75,0.31,0.14,2.50,0.04
0.34,0.44,0.46,0.11,37.66,166.13,42.94,16.74,12.58,9.17,3.48,1.10,32.87,0.80,0.98,0.36,0.10,3.43,0.03
0.38,0.48,0.48,0.17,17.66,48.44,23.21,12.54,9.95,7.10,2.71,0.65,14.08,0.68,0.43,0.27,0.06,1.38,0.03
0.32,0.42,0.44,0.10,37.29,123.84,62.59,20.59,11.93,11.08,4.11,1.13,27.49,0.98,1.01,0.44,0.11,3.45,0.04
0.34,0.44,0.45,0.14,49.72,226.79,51.97,20.13,13.68,12.22,4.28,1.77,42.68,1.29,1.28,0.44,0.16,4.46,0.05
0.38,0.48,0.47,0.19,20.28,60.80,28.06,13.55,9.60,8.91,2.69,1.26,16.22,0.61,0.49,0.26,0.11,1.56,0.02
0.37,0.46,0.47,0.17,33.01,152.35,41.27,15.69,8.50,9.45,3.57,1.02,28.16,0.90,0.83,0.36,0.09,2.82,0.04
0.38,0.49,0.47,0.18,26.33,68.62,46.90,17.19,10.60,8.34,3.23,1.30,21.51,1.00,0.64,0.31,0.11,2.08,0.04
0.37,0.47,0.46,0.18,24.22,84.74,30.28,14.01,11.10,7.65,3.12,1.00,19.52,1.00,0.59,0.31,0.09,1.94,0.04
0.41,0.51,0.51,0.21,24.63,83.30,39.10,14.22,7.85,7.65,2.98,0.73,20.74,0.60,0.57,0.28,0.06,1.93,0.02
0.35,0.45,0.48,0.12,34.00,134.99,41.74,19.50,14.20,9.57,4.38,0.79,28.39,0.78,0.88,0.45,0.07,2.95,0.03
0.36,0.46,0.46,0.15,25.01,84.42,32.53,18.26,10.16,10.12,3.39,1.17,20.24,0.76,0.63,0.34,0.11,2.03,0.03
0.38,0.47,0.48,0.18,24.38,87.30,31.81,15.05,9.78,8.82,3.35,0.99,19.80,0.86,0.60,0.33,0.09,1.95,0.03
0.36,0.47,0.46,0.14,29.95,91.21,40.35,19.15,10.38,9.90,3.16,2.06,24.34,1.41,0.75,0.32,0.18,2.43,0.06
0.36,0.47,0.46,0.16,29.48,105.91,42.48,14.81,12.72,9.23,3.48,1.25,24.41,0.99,0.73,0.35,0.11,2.42,0.04
0.35,0.45,0.46,0.14,33.24,110.72,55.07,17.66,12.25,9.11,3.66,1.14,27.01,1.12,0.86,0.38,0.11,2.92,0.05
0.37,0.47,0.47,0.17,20.16,67.32,27.96,13.49,9.61,8.49,2.89,1.06,15.83,1.11,0.51,0.29,0.10,1.59,0.04
0.36,0.46,0.46,0.16,21.67,72.21,26.88,12.61,10.29,8.78,2.82,0.86,17.73,0.85,0.54,0.28,0.08,1.76,0.03
0.37,0.48,0.46,0.16,25.45,77.85,36.50,15.61,9.08,8.83,2.64,1.14,21.45,0.97,0.63,0.26,0.10,2.10,0.04
0.33,0.44,0.43,0.13,27.62,83.41,39.54,18.35,14.15,11.00,3.96,1.89,21.36,1.45,0.72,0.42,0.18,2.24,0.06
0.34,0.45,0.44,0.12,27.32,106.28,33.29,17.84,10.78,7.74,3.43,0.80,22.82,0.79,0.71,0.36,0.08,2.39,0.03
0.35,0.46,0.44,0.16,28.35,96.92,43.38,17.25,9.79,10.02,3.70,1.26,22.99,1.25,0.72,0.37,0.12,2.32,0.05
0.38,0.48,0.48,0.18,20.82,63.56,29.64,14.87,8.58,8.29,2.75,0.65,17.13,0.65,0.51,0.27,0.06,1.69,0.03
0.37,0.47,0.47,0.17,31.81,122.87,40.48,16.23,9.66,9.40,3.18,1.01,27.44,0.79,0.78,0.31,0.09,2.68,0.03
0.36,0.46,0.46,0.16,29.22,98.51,36.55,19.26,12.70,9.17,3.28,1.82,23.82,0.88,0.73,0.33,0.16,2.40,0.04
0.35,0.45,0.45,0.14,27.96,84.45,43.73,16.74,11.68,9.97,3.44,1.62,22.53,1.37,0.73,0.36,0.15,2.34,0.06
0.32,0.44,0.44,0.09,40.15,181.21,38.72,17.46,11.14,9.22,3.09,1.06,35.80,0.65,1.07,0.33,0.10,3.83,0.03
0.40,0.50,0.49,0.21,18.91,46.09,27.77,12.89,9.93,9.17,2.99,1.26,14.27,0.92,0.44,0.28,0.11,1.36,0.04
0.37,0.47,0.47,0.18,18.27,48.43,25.22,12.24,10.27,8.34,2.98,1.16,13.88,0.83,0.45,0.30,0.10,1.38,0.03
0.38,0.49,0.47,0.18,22.46,63.64,33.95,17.45,9.15,9.37,3.12,1.13,17.95,0.82,0.54,0.30,0.10,1.74,0.03
0.36,0.47,0.46,0.16,22.70,69.74,27.93,16.05,10.57,9.87,3.49,1.42,17.52,0.99,0.57,0.36,0.13,1.75,0.04
0.36,0.46,0.48,0.15,30.73,117.83,38.81,18.59,13.38,11.44,3.96,1.04,25.46,0.86,0.78,0.40,0.10,2.59,0.03
0.38,0.47,0.48,0.17,26.38,122.89,30.97,13.76,9.72,7.38,2.73,1.16,22.13,1.09,0.65,0.27,0.10,2.20,0.04
0.38,0.48,0.49,0.18,17.97,41.64,24.31,13.95,10.60,8.65,3.04,1.07,13.64,0.94,0.44,0.30,0.09,1.33,0.04
0.40,0.50,0.48,0.22,28.51,96.11,43.44,15.58,10.06,7.86,3.10,1.22,23.97,0.82,0.67,0.29,0.10,2.27,0.03
0.35,0.45,0.46,0.13,31.38,121.76,44.01,17.32,12.41,9.57,3.64,1.16,26.35,0.83,0.81,0.40,0.11,2.72,0.03
0.36,0.46,0.45,0.16,20.35,62.92,26.75,12.61,12.53,9.53,3.13,1.10,15.26,0.83,0.52,0.32,0.10,1.61,0.03
0.37,0.47,0.47,0.18,22.41,60.55,33.66,17.59,10.15,8.74,3.07,1.44,17.56,1.09,0.55,0.30,0.13,1.72,0.04
0.39,0.49,0.50,0.19,21.30,49.53,31.05,16.41,10.64,8.10,3.12,0.93,17.05,0.58,0.51,0.30,0.08,1.65,0.02
0.38,0.48,0.47,0.18,21.13,50.76,31.04,15.98,9.41,8.59,3.27,1.62,16.08,0.78,0.52,0.32,0.14,1.58,0.03
0.39,0.49,0.49,0.19,20.52,49.39,28.67,16.89,10.72,7.80,3.11,0.62,16.52,0.66,0.49,0.30,0.05,1.59,0.03
0.38,0.49,0.48,0.17,24.23,77.78,30.89,16.23,11.66,8.92,3.41,1.47,18.95,1.28,0.59,0.33,0.13,1.84,0.05
0.36,0.47,0.48,0.14,40.95,199.60,47.74,15.60,11.29,9.13,3.18,1.07,36.31,1.24,1.05,0.33,0.10,3.74,0.05
0.40,0.49,0.50,0.20,18.70,43.77,33.81,11.04,8.11,7.78,2.99,0.42,15.16,0.40,0.44,0.28,0.04,1.42,0.01
0.33,0.44,0.42,0.13,37.45,138.03,53.19,18.81,13.42,11.15,4.08,1.84,31.33,0.98,0.98,0.43,0.17,3.29,0.04
0.33,0.45,0.42,0.14,52.53,266.87,78.56,18.05,11.54,10.58,3.62,1.78,46.67,1.31,1.34,0.37,0.17,4.78,0.06
0.35,0.46,0.46,0.15,29.93,92.70,52.02,16.92,8.91,9.49,2.56,1.49,25.65,0.92,0.75,0.26,0.14,2.57,0.04
0.37,0.48,0.48,0.15,28.40,92.63,43.40,17.26,12.79,9.17,3.03,1.07,23.97,1.24,0.71,0.30,0.10,2.38,0.05
0.36,0.46,0.47,0.15,26.17,72.32,42.69,15.05,10.43,8.98,3.04,1.04,21.58,1.03,0.67,0.31,0.10,2.22,0.04
0.36,0.46,0.46,0.16,23.20,63.07,37.12,16.41,10.56,9.13,2.93,1.45,17.79,1.43,0.59,0.30,0.13,1.88,0.06
0.37,0.48,0.48,0.17,19.78,56.85,28.25,13.54,11.17,7.71,2.79,0.59,16.25,0.68,0.49,0.28,0.05,1.61,0.03
0.33,0.44,0.43,0.11,43.90,219.19,57.07,19.47,12.57,10.06,3.84,1.49,38.26,1.17,1.16,0.41,0.14,4.05,0.05
0.40,0.48,0.51,0.20,20.71,51.54,29.30,16.13,10.36,7.94,3.15,1.07,15.80,0.94,0.50,0.30,0.09,1.57,0.03
0.39,0.48,0.49,0.19,22.28,78.38,33.60,14.71,10.16,9.49,2.88,1.10,17.94,1.11,0.54,0.28,0.10,1.72,0.04
0.37,0.46,0.49,0.17,27.35,110.79,32.41,14.87,11.85,9.33,3.35,1.60,22.00,1.25,0.68,0.33,0.14,2.19,0.05
0.35,0.46,0.44,0.15,35.14,144.52,48.02,17.38,12.55,10.24,3.31,1.80,29.57,1.33,0.89,0.34,0.16,3.00,0.06
0.34,0.45,0.44,0.14,59.70,332.17,77.04,19.47,15.89,10.13,3.80,1.40,52.87,0.90,1.54,0.39,0.13,5.61,0.04
0.38,0.49,0.48,0.18,22.43,68.97,35.41,10.90,9.36,7.15,2.62,0.79,18.79,0.68,0.54,0.25,0.07,1.82,0.03
0.38,0.47,0.49,0.17,25.82,61.55,41.66,17.19,11.27,10.61,3.95,0.98,20.72,0.74,0.64,0.39,0.09,2.05,0.03
0.40,0.50,0.50,0.20,20.73,60.82,30.42,14.51,8.69,9.14,3.23,0.67,16.57,0.67,0.49,0.31,0.06,1.57,0.03
0.38,0.48,0.49,0.18,26.54,82.92,38.61,15.82,9.66,9.46,3.39,1.10,21.70,0.97,0.64,0.33,0.10,2.09,0.04
0.36,0.46,0.47,0.15,34.50,145.35,40.47,18.29,11.11,10.04,3.19,1.52,29.45,1.48,0.87,0.32,0.14,2.98,0.06
0.37,0.47,0.47,0.18,35.02,129.34,47.89,19.28,10.98,10.13,3.90,1.42,29.62,0.76,0.88,0.40,0.13,2.97,0.03
0.35,0.45,0.45,0.14,29.55,91.42,43.59,17.11,11.09,10.74,3.76,1.25,24.27,1.07,0.76,0.39,0.11,2.50,0.04
0.37,0.46,0.47,0.18,25.00,74.83,39.19,14.33,10.07,8.91,3.39,0.91,19.64,0.71,0.62,0.34,0.08,2.03,0.03
0.36,0.47,0.46,0.15,35.12,170.82,43.46,17.66,13.82,8.74,4.10,0.80,30.07,0.56,0.88,0.41,0.07,3.00,0.02
0.35,0.45,0.46,0.13,30.99,104.99,53.36,16.80,11.20,9.99,3.50,1.20,26.04,1.03,0.79,0.36,0.11,2.65,0.04
0.37,0.47,0.48,0.14,30.96,108.01,49.42,15.67,9.71,9.29,3.07,1.18,26.44,0.87,0.78,0.31,0.11,2.65,0.03
0.36,0.46,0.46,0.17,21.68,76.97,27.59,14.76,9.74,8.37,3.19,1.08,17.08,0.97,0.54,0.32,0.10,1.70,0.04
0.36,0.44,0.48,0.15,33.42,135.53,39.18,14.96,10.34,10.76,3.42,0.85,28.72,0.70,0.85,0.35,0.08,2.96,0.03
0.37,0.47,0.47,0.16,24.82,70.30,37.48,15.40,9.19,7.86,2.96,0.92,20.74,0.70,0.62,0.30,0.08,2.08,0.03
0.34,0.44,0.45,0.12,31.63,113.43,46.10,17.69,10.08,9.58,3.58,1.17,25.14,0.83,0.85,0.38,0.11,2.86,0.03
0.38,0.47,0.50,0.17,28.71,90.20,38.15,18.73,9.64,10.22,4.10,1.03,23.10,0.54,0.71,0.41,0.09,2.32,0.02
0.35,0.45,0.45,0.14,27.97,95.08,41.31,16.87,9.00,9.04,3.09,1.39,22.85,1.07,0.72,0.32,0.13,2.38,0.04
0.38,0.48,0.46,0.19,23.22,64.94,31.85,14.04,11.43,10.85,3.37,1.46,18.09,1.08,0.57,0.33,0.13,1.77,0.04
0.38,0.47,0.49,0.17,24.03,75.07,34.45,14.40,9.65,9.85,3.90,1.46,17.99,0.78,0.60,0.39,0.13,1.84,0.03
0.35,0.46,0.47,0.14,35.74,113.69,53.58,18.41,11.77,14.13,3.68,2.89,28.45,1.15,0.90,0.38,0.26,2.92,0.05
0.36,0.47,0.46,0.14,28.90,110.82,39.23,14.50,9.59,8.95,2.96,0.70,24.92,0.95,0.73,0.30,0.06,2.51,0.04
0.36,0.47,0.46,0.15,20.41,57.35,27.48,14.77,11.69,8.90,3.77,0.99,15.37,0.92,0.51,0.38,0.09,1.54,0.04
0.34,0.45,0.45,0.13,28.96,99.58,39.41,18.35,11.78,10.80,3.78,1.12,23.72,1.03,0.74,0.39,0.10,2.44,0.04
0.35,0.45,0.47,0.13,33.99,105.97,52.80,19.56,10.75,10.01,3.98,1.69,28.10,1.05,0.86,0.41,0.15,2.85,0.04
0.38,0.48,0.49,0.16,29.00,87.61,41.10,18.15,11.41,10.06,3.08,1.26,24.48,0.75,0.72,0.31,0.11,2.44,0.03
0.37,0.47,0.48,0.17,27.62,115.76,36.06,13.64,8.94,9.04,2.87,0.95,23.48,0.97,0.68,0.28,0.09,2.32,0.04
0.34,0.44,0.45,0.12,38.38,177.15,49.87,17.06,12.91,9.96,3.65,1.15,33.26,0.95,0.99,0.38,0.11,3.43,0.04
0.39,0.49,0.49,0.18,23.18,59.18,33.90,18.40,11.17,8.33,2.99,1.06,18.93,0.79,0.56,0.29,0.09,1.84,0.03
0.34,0.45,0.46,0.12,38.59,160.58,64.90,20.56,12.64,10.23,3.44,1.10,33.71,1.12,1.00,0.36,0.10,3.48,0.04
0.36,0.46,0.46,0.15,26.20,80.89,32.84,17.92,9.44,9.70,3.14,1.20,21.62,1.02,0.66,0.32,0.11,2.17,0.04
0.38,0.47,0.50,0.18,28.70,111.44,40.76,14.28,9.74,8.40,3.35,0.59,24.55,0.55,0.70,0.33,0.05,2.41,0.02
0.34,0.45,0.44,0.14,30.24,81.17,46.45,20.11,12.50,11.89,4.26,1.56,24.03,1.16,0.77,0.43,0.14,2.45,0.05
